"scientific_name","BCR","slope","lower_CI","upper_CI","intercept","adj_r2","Trend"
"Eudocimus albus",37,0.782942238267157,-2.95498545613586,4.52086993267018,-1488.7973826715,-0.0336180141433018,"Stable"
"Eugenes fulgens",35,NA,NA,NA,NA,NA,NA
"Euphagus cyanocephalus",18,-0.1175792218211,-0.234047727622282,-0.00111071601991802,244.750551544326,0.117895413871806,"Decreasing"
"Euphagus cyanocephalus",19,0.274436090225606,-4.77246361894747,5.32133579939868,-545.394736842189,-0.353747271404184,"Stable"
"Euphagus cyanocephalus",21,NA,NA,NA,NA,NA,NA
"Euphagus cyanocephalus",35,0.0683101650738497,-0.0800500076489317,0.216670337796631,-133.143136403129,-0.00357678521355131,"Stable"
"Falco femoralis",35,NA,NA,NA,NA,NA,NA
"Falco femoralis",37,0,0,0,2,NA,"Stable"
"Falco mexicanus",18,-0.0180505415162454,-0.0398708462793274,0.00376976324683656,37.5054151624547,0.0711492178098656,"Stable"
"Falco mexicanus",19,2.28836947087037e-17,-3.07962230229807e-17,7.65636124403881e-17,0.999999999999954,0.367877492877483,"Stable"
"Falco mexicanus",35,2.97958326614249e-17,-4.50381605337136e-18,6.40954813762212e-17,0.99999999999994,0.498438760633538,"Stable"
"Falco peregrinus",18,0,0,0,1,NA,"Stable"
"Falco peregrinus",19,NA,NA,NA,NA,NA,NA
"Falco peregrinus",21,NA,NA,NA,NA,NA,NA
"Falco peregrinus",35,-0.0214285714285671,-0.107941275348869,0.0650841324917352,44.2571428571341,-0.110000000000024,"Stable"
"Falco sparverius",18,-0.0543020457280388,-0.076058854809116,-0.0325452366469615,111.895457280386,0.505293113127474,"Decreasing"
"Falco sparverius",19,-0.00596670677898131,-0.0325302313881563,0.0205968178301937,14.3754011231451,-0.0324213788190262,"Stable"
"Falco sparverius",20,0.177419354838723,-0.177545035071243,0.532383744748688,-356.935483870994,0.951612903225852,"Stable"
"Falco sparverius",21,0.0202643938076188,-0.00922579840661665,0.0497545860218543,-39.4037223865023,0.0539810395437456,"Stable"
"Falco sparverius",25,0.00924050993925201,-0.0271112996035692,0.0455923194820733,-17.0668796166896,-0.0324128257448288,"Stable"
"Falco sparverius",35,-0.0125350982751706,-0.0379998667133203,0.0129296701629791,27.2676494183717,0.00128528740121514,"Stable"
"Falco sparverius",36,0.0613624544981789,-0.0418265835193237,0.164551492515681,-121.405096203846,0.0496186514127246,"Stable"
"Falco sparverius",37,NA,NA,NA,NA,NA,NA
"Fregata magnificens",37,-0.0476190476190485,-0.759504564678099,0.664266469440002,97.9619047619065,-0.313492063492063,"Stable"
"Fulica americana",18,-0.186151805283197,-0.446814554946334,0.074510944379941,380.518975660407,0.051956132122957,"Stable"
"Fulica americana",19,-0.326263537906134,-0.582285843825853,-0.0702412319864146,661.010379061366,0.191400208273523,"Decreasing"
"Fulica americana",21,-0.173897368104795,-0.506680133369902,0.158885397160312,352.710731883187,0.0222841079497386,"Stable"
"Fulica americana",25,NA,NA,NA,NA,NA,NA
"Fulica americana",35,-0.694901315789469,-1.46393395234095,0.0741313207620111,1402.06208881578,0.155214872469595,"Stable"
"Fulica americana",36,0.00627769571639707,-0.433865138195714,0.446420529628508,-7.70088626292709,-0.0908113661856225,"Stable"
"Fulica americana",37,-2.31124138305384,-5.52108952601321,0.898606759905529,4682.21028062758,0.0483253054738606,"Stable"
"Gallinago delicata",18,-0.0460790212595269,-0.108665225798819,0.0165071832797651,95.3318792619339,0.0497552256854602,"Stable"
"Gallinago delicata",19,0.241776975531488,0.0683901277321078,0.415163823330869,-479.186421981549,0.225592488265852,"Increasing"
"Gallinula galeata",19,NA,NA,NA,NA,NA,NA
"Gallinula galeata",21,-0.00239390642002364,-0.301307271661644,0.296519458821596,7.89009793253913,-0.0999649742833346,"Stable"
"Gallinula galeata",25,0.0490123587197629,-0.170787172385353,0.268811889824879,-96.0875673391773,-0.0735000975735531,"Stable"
"Gallinula galeata",35,NA,NA,NA,NA,NA,NA
"Gallinula galeata",36,-0.000529520783690321,-0.172960965823996,0.171901924256615,3.52501985702851,-0.0909045602499792,"Stable"
"Gallinula galeata",37,-0.351233453670276,-0.618923014438946,-0.0835438929016049,715.959536702765,0.202129443416593,"Decreasing"
"Gelochelidon nilotica",36,-0.242118537200506,-0.919844208536648,0.435607134135636,492.742433795716,-0.0283054182351601,"Stable"
"Gelochelidon nilotica",37,0.0256718812675492,-0.272298740140267,0.323642502675365,-43.0521460088249,-0.0402961291281922,"Stable"
"Geococcyx californianus",18,-0.00220617729643016,-0.0295314908258147,0.0251191362329544,5.89510629763369,-0.0404628992926226,"Stable"
"Geococcyx californianus",19,0.0425691937424792,0.00883721409835064,0.0763011733866077,-83.3169374247899,0.187889008430925,"Increasing"
"Geococcyx californianus",20,0.0170477336542316,-0.0262547442214479,0.0603502115299111,-32.1440032089847,-0.0137787267011229,"Stable"
"Geococcyx californianus",21,-0.00631768953068575,-0.0377760976896367,0.0251407186282652,14.9268953068589,-0.0342631242478946,"Stable"
"Geococcyx californianus",25,-0.0141897312474932,-0.0406179568889311,0.0122384943939447,29.9389791415969,0.00903653968485618,"Stable"
"Geococcyx californianus",35,0.00837344564781366,-0.0403810723987551,0.0571279636943824,-13.9427898114717,-0.0362415990720639,"Stable"
"Geococcyx californianus",36,-0.0229141596470117,-0.11902694800838,0.0731986287143561,50.9332631367832,-0.0312631428243877,"Stable"
"Geococcyx californianus",37,0.0958684316085049,0.00464030819603627,0.187096555020973,-188.850982751707,0.129042282479755,"Increasing"
"Geothlypis formosa",19,NA,NA,NA,NA,NA,NA
"Geothlypis formosa",21,0.00553469704816164,-0.0233368440443792,0.0344062381407025,-9.72886457793902,-0.0397499885505728,"Stable"
"Geothlypis formosa",25,-0.0682410750100288,-0.1112259099913,-0.0252562400287572,141.869083433616,0.280283219247953,"Decreasing"
"Geothlypis formosa",37,0.0501930501930494,-0.239456809855245,0.339842910241344,-99.7760617760602,-0.173745173745175,"Stable"
"Geothlypis tolmiei",18,NA,NA,NA,NA,NA,NA
"Geothlypis tolmiei",35,-0.880254777070049,-1.12745861303575,-0.633050941104352,1776.4299363057,0.720641150531747,"Decreasing"
"Geothlypis trichas",18,-0.0540513437625356,-0.0957870949239942,-0.0123155926010769,111.930104292019,0.19729063556436,"Decreasing"
"Geothlypis trichas",19,-0.0998295226634575,-0.151820403419537,-0.0478386419073776,206.50355996791,0.370357752120527,"Decreasing"
"Geothlypis trichas",20,-0.101876675603228,-0.657660403635798,0.453907052429342,207.616621983935,-0.197497765862344,"Stable"
"Geothlypis trichas",21,-0.0689931809065385,-0.108294592599053,-0.0296917692140241,140.765142398717,0.326639575292507,"Decreasing"
"Geothlypis trichas",25,-0.148616125150422,-0.18605470466413,-0.111177545636713,304.661251504213,0.725644849055616,"Decreasing"
"Geothlypis trichas",35,-0.0555555555555564,-0.156231999008485,0.0451208878973725,115.222222222224,0.0117447205639637,"Stable"
"Geothlypis trichas",36,0.0308146897425077,-0.178676560925632,0.240305940410647,-59.4543407907704,-0.0883098287260322,"Stable"
"Geothlypis trichas",37,-0.170778178900923,-0.5270670657198,0.185510707917953,356.198455675894,-0.000853872161374669,"Stable"
"Geranoaetus albicaudatus",21,0.0276329509906154,-0.0578208970650055,0.113086799046236,-53.9103232533892,-0.0564319912094755,"Stable"
"Geranoaetus albicaudatus",36,-0.0192671317728367,-0.0777032861413394,0.0391690225956659,40.8682597639691,-0.0246784572060059,"Stable"
"Geranoaetus albicaudatus",37,-0.0511933413557961,-0.0912423769086339,-0.0111443058029583,105.225080224629,0.192510759517327,"Decreasing"
"Glaucidium brasilianum",37,0,0,0,1,NA,"Stable"
"Glaucidium gnoma",35,NA,NA,NA,NA,NA,NA
"Gymnorhinus cyanocephalus",18,-0.259768936556132,-0.505251480179848,-0.0142863929324159,527.335041993617,0.155692037744206,"Decreasing"
"Gymnorhinus cyanocephalus",35,-0.0886494688922612,-0.302706047292011,0.125407109507489,184.196995447648,-0.0118778331767715,"Stable"
"Haematopus palliatus",37,-0.0273363000635723,-0.144166985144579,0.0894943850174345,57.316465352828,-0.0415724869655616,"Stable"
"Haemorhous cassinii",18,NA,NA,NA,NA,NA,NA
"Haemorhous mexicanus",18,-0.159747292418774,-0.252826920279373,-0.0666676645581751,328.222924187729,0.315946369903187,"Decreasing"
"Haemorhous mexicanus",19,-0.0539510629763338,-0.112252476982583,0.00435035102991562,113.343963096671,0.0957654918620614,"Stable"
"Haemorhous mexicanus",20,-0.152326514239873,-0.258542609010027,-0.046110419469719,313.848475732053,0.236894412898931,"Decreasing"
"Haemorhous mexicanus",21,-0.0380565583634181,-0.106709122544622,0.0305960058177854,79.4405836341768,0.0122070422967669,"Stable"
"Haemorhous mexicanus",25,-0.0206077015643807,-0.0736400563673127,0.0324246532385512,44.4520156438036,-0.0144781543947079,"Stable"
"Haemorhous mexicanus",35,-0.152677496991579,-0.298611584833594,-0.00674340914956353,320.899969915769,0.12777837733969,"Decreasing"
"Haemorhous mexicanus",36,-0.0952712100139157,-0.384001245088175,0.193458825060344,196.655132127971,-0.0227595666906248,"Stable"
"Haemorhous mexicanus",37,0.0265957446808508,-0.0306329505614125,0.083824439923114,-52.20744680851,0.0401891252955074,"Stable"
"Haliaeetus leucocephalus",18,0.0232344848670132,-0.0145789412968739,0.0610479110309002,-45.2681137266891,0.0468183604839063,"Stable"
"Haliaeetus leucocephalus",19,0.0168531267928858,-0.0198556520845508,0.0535619056703224,-32.5644721744118,-0.00265883157449287,"Stable"
